_name=Carrier
_uid=0
_timeDuration_sec=1
_numSamplePts=2000
_samplingFreq_Hz=2000
_isComplex=1
_carrierFreq_Hz =1000
# xR, xI
0.875121,0.483904
-0.875117,-0.483911
0.875113,0.483919
-0.875108,-0.483927
0.875222,0.483721
-0.875218,-0.483729
0.875214,0.483737
-0.875209,-0.483745
0.875205,0.483752
-0.875319,-0.483546
0.875314,0.483554
-0.87531,-0.483562
0.875306,0.48357
-0.875301,-0.483578
0.875415,0.483372
-0.875411,-0.48338
0.875407,0.483387
-0.875402,-0.483395
0.875398,0.483403
-0.875512,-0.483197
0.875507,0.483205
-0.875503,-0.483213
0.875499,0.48322
-0.875494,-0.483228
0.875608,0.483022
-0.875604,-0.48303
0.875599,0.483038
-0.875595,-0.483046
0.875591,0.483053
-0.875704,-0.482847
0.8757,0.482855
-0.875696,-0.482863
0.875692,0.482871
-0.875687,-0.482879
0.875801,0.482673
-0.875796,-0.48268
0.875792,0.482688
-0.875788,-0.482696
0.875784,0.482704
-0.875897,-0.482498
0.875893,0.482506
-0.875889,-0.482513
0.875884,0.482521
-0.87588,-0.482529
0.875993,0.482323
-0.875989,-0.482331
0.875985,0.482339
-0.875981,-0.482346
0.875976,0.482354
-0.87609,-0.482148
0.876085,0.482156
-0.876081,-0.482164
0.876077,0.482172
-0.87619,-0.481965
0.876186,0.481973
-0.876182,-0.481981
0.876177,0.481989
-0.876173,-0.481997
0.876286,0.481791
-0.876282,-0.481798
0.876278,0.481806
-0.876274,-0.481814
0.876269,0.481822
-0.876383,-0.481616
0.876378,0.481624
-0.876374,-0.481631
0.87637,0.481639
-0.876365,-0.481647
0.876479,0.481441
-0.876474,-0.481449
0.87647,0.481456
-0.876466,-0.481464
0.876462,0.481472
-0.876575,-0.481266
0.87657,0.481274
-0.876566,-0.481281
0.876562,0.481289
-0.876558,-0.481297
0.876671,0.481091
-0.876666,-0.481099
0.876662,0.481106
-0.876658,-0.481114
0.876654,0.481122
-0.876767,-0.480916
0.876762,0.480924
-0.876758,-0.480931
0.876754,0.480939
-0.87675,-0.480947
0.876863,0.480741
-0.876858,-0.480749
0.876854,0.480756
-0.87685,-0.480764
0.876846,0.480772
-0.876959,-0.480566
0.876954,0.480574
-0.87695,-0.480581
0.876946,0.480589
-0.876942,-0.480597
0.877055,0.480391
-0.87705,-0.480399
0.877046,0.480406
-0.877042,-0.480414
0.877037,0.480422
-0.87715,-0.480216
0.877146,0.480224
-0.877142,-0.480231
0.877138,0.480239
-0.877133,-0.480247
0.877246,0.480041
-0.877242,-0.480048
