_name=mixed
_uid=0
_timeDuration_sec=1
_numSamplePts=2000
_samplingFreq_Hz=2000
_isComplex=1
basebandTimeDuration_sec=1
basebandSamplingFreq_Hz=100
basebandSamplePts=100
basebandFreqRng_Hz=[10, 50]
carrierFreq_Hz=1000
carrierSamplePts=2000
carrierFreqRng_Hz=[500, 2000]
isTimeDomainSln=1

# xR, xI
0.0313225,-0.31793
-0.0335794,0.340807
0.0349661,-0.355293
-0.0354586,0.360265
0.0349291,-0.355297
-0.0335083,0.340814
0.0312619,-0.317936
-0.0283316,0.28847
0.0222579,-0.255768
-0.0173269,0.220303
0.0119163,-0.185021
-0.00606871,0.151808
-0.000190224,-0.122074
0.00679619,0.0966701
-0.0137443,-0.075993
0.0209486,0.0599796
-0.0283051,-0.048278
0.0356339,0.0402396
-0.0426651,-0.0351204
0.0501026,0.0218689
-0.0552209,-0.0241036
0.0591941,0.0258384
-0.0617126,-0.0269295
0.0625759,0.0273068
-0.0617154,-0.026923
0.0591995,0.0258261
-0.0552255,-0.024093
0.0501091,0.0218541
-0.0177148,-0.0491773
-0.0017046,0.0612888
0.0260264,-0.078915
-0.0559518,0.103351
0.0921322,-0.135732
-0.134935,0.176648
0.184312,-0.226228
-0.239653,0.28368
0.299557,-0.34747
-0.3619,0.414901
0.423678,-0.482485
-0.483152,0.545437
0.532517,-0.601155
-0.570761,0.644475
0.595021,-0.671857
-0.603353,0.681253
0.594951,-0.671919
-0.570705,0.644525
0.532328,-0.601321
-0.482991,0.54558
0.448502,-0.443627
-0.399137,0.35668
0.353875,-0.262631
-0.316578,0.163584
0.290352,-0.0607555
-0.276959,-0.0449346
0.277131,0.152789
-0.290225,-0.261994
0.314642,0.371041
-0.347473,-0.477753
0.385135,0.578858
-0.406508,-0.689807
0.44803,0.760283
-0.48036,-0.814934
0.500765,0.849569
-0.507765,-0.861462
0.50075,0.849578
-0.480331,-0.814951
0.448175,0.760197
-0.406627,-0.689737
0.349745,0.610673
-0.294346,-0.525465
0.237206,0.440545
-0.180607,-0.360363
0.126067,0.288313
-0.0746686,-0.226375
0.0268891,0.175525
0.0170584,-0.135611
-0.0570875,0.105844
0.0931961,-0.0847467
-0.125159,0.0706349
0.167112,-0.0372007
-0.184184,0.0409994
0.197432,-0.0439719
-0.205822,0.0458386
0.208697,-0.0465037
-0.205818,0.0458601
0.197423,-0.0440131
-0.184171,0.0410571
0.167101,-0.0372499
-0.148962,0.0487097
0.128819,-0.0519057
-0.108926,0.0580298
0.0904171,-0.0679032
-0.0741318,0.082259
0.0605647,-0.1015
-0.0499706,0.125697
0.0422624,-0.154464
-0.0372285,0.186922
0.0344108,-0.22164
-0.0332492,0.256703
0.0272991,-0.288569
-0.030052,0.318053
0.0322175,-0.340938
-0.0335897,0.355426
0.0340189,-0.360403
-0.0335527,0.355429
